"","Region","Agriculture"
"1","Conthey",85.9
"2","Orbe",54.1
"3","Rolle",60.8
"4","Sierre",84.6
"5","Aigle",62
"6","Nyone",50.9
"7","St Maurice",75.9
"8","Morges",59.8
"9","Paysd'enhaut",63.5
"10","Sion",63.1
"11","Herens",89.7
"12","Cossonay",69.3
"13","Aubonne",67.5
"14","Martigwy",78.2
"15","Entremont",84.9
"16","Lavaux",73
"17","Monthey",64.9
"18","Gruyere",53.3
"19","Oron",71.2
"20","Echallens",72.6
"21","Moudon",55.1
"22","Avenches",60.7
"23","Broye",70.2
"24","Payerne",58.1
"25","Veveyse",64.5
"26","Glane",67.8
